n_sym,n_err,ber,mse_tau,mse_fd,corr_tau,margin_mean,attn_entropy,attn_maxw,lstm_1_energy,lstm_1_cos,dropout_lstm_energy,dropout_lstm_cos,shared_gap_energy,shared_gap_cos,lstm_proj_energy,lstm_proj_cos,sensing_position_energy,sensing_position_cos,sensing_delay_profile_energy,sensing_delay_profile_cos,sensing_features_energy,sensing_features_cos,arch,jammer,jsr_db,realization
240000,599,0.0024958333333333334,57.28024456528078,5.343704949820466e-10,0.6141021667069541,2.919201085408529,,,0.005776048403978348,0.9887946569124858,0.005776048403978348,0.9887946569124858,0.0011716252487773697,0.9887946569124858,0.011923552674055099,0.9929135286013285,0.2571416872819265,0.9994639784495036,0.0037624681927263736,0.8718247083028158,0.08723125735918681,0.9979313871065776,lstm,barrage,-10.0,1
240000,1191,0.0049625,66.57845006193912,5.345666754701793e-10,0.5227391749244411,2.8896039774576825,,,0.006266142034282287,0.9660007580121358,0.006266142034282287,0.9660007580121358,0.0011216107765833537,0.9660007580121358,0.010554041824241479,0.9773455344835917,0.2565289280414581,0.9988905614217123,0.00485453825717171,0.7859385952949524,0.08711993937095007,0.9947802802721659,lstm,barrage,-6.0,1
240000,4142,0.017258333333333334,77.66633540503076,5.350120862121903e-10,0.3871344592439942,2.7598868342081704,,,0.007537564691404501,0.8869346966743469,0.007537564691404501,0.8869346966743469,0.0010515992693603039,0.8869346966743469,0.008019677561024825,0.9172204076449076,0.255513121287028,0.9979705724716187,0.007598279780646165,0.6847060646216074,0.08724999823172887,0.9866642665863037,lstm,barrage,-2.0,1
240000,17854,0.07439166666666666,87.22256427999375,5.368820434841793e-10,0.2417081949432043,2.282295821126302,,,0.010788818908234438,0.6762444856961568,0.010788818908234438,0.6762444856961568,0.0010898017053181926,0.6762444856961568,0.004830501955499252,0.739582601706187,0.2542590578556061,0.996796596844991,0.014491175056993962,0.5870867705345154,0.08884052486817041,0.9672603224118551,lstm,barrage,2.0,1
240000,53666,0.22360833333333333,94.64659956507282,5.494731601963554e-10,0.13266117791512141,1.3685514417012532,,,0.018321694441636404,0.3942852768500646,0.018321694441636404,0.3942852768500646,0.0016617538002630075,0.3942852768500646,0.002788603099187215,0.4777210890452067,0.25301196958223976,0.9956158256530762,0.031806816100080806,0.5087787480354309,0.09503861227830251,0.9276871198018392,lstm,barrage,6.0,1
240000,90629,0.37762083333333335,102.61122169313808,6.229893894366478e-10,0.06986568456280438,0.591445785077413,,,0.032696479550997415,0.20534710618108512,0.032696479550997415,0.20534710618108512,0.0033794550782690444,0.20534710618108512,0.002785302570586403,0.28564067574342095,0.2518634775956472,0.9946803471247355,0.0753040712873141,0.45407477140426633,0.11261187662680944,0.8535278596878052,lstm,barrage,10.0,1
240000,605,0.0025208333333333333,57.410907845578826,5.343768088043337e-10,0.6131218200434371,2.9191687713623047,,,0.005775807823985815,0.9883922344843546,0.005775807823985815,0.9883922344843546,0.0011715391396855315,0.9883922344843546,0.011920782510439555,0.9927590003013611,0.2571256031036377,0.9994604260126749,0.003763740341862043,0.8727890842755636,0.08722588204542796,0.9979078165690104,lstm,barrage,-10.0,2
240000,1195,0.0049791666666666665,66.83717305431628,5.34575820150668e-10,0.5200107373899485,2.8896743794759114,,,0.006266144542644421,0.9650996511777242,0.006266144542644421,0.9650996511777242,0.0011215828805540998,0.9650996511777242,0.010550833005209764,0.9772273276646932,0.2565009993553162,0.998883013566335,0.0048564867104093235,0.7875097538630168,0.08711092734336853,0.9947270991007487,lstm,barrage,-6.0,2
240000,4129,0.017204166666666666,77.90284983567742,5.349928032545698e-10,0.38393552747489973,2.7594112564086912,,,0.007538354856272539,0.8848494793574015,0.007538354856272539,0.8848494793574015,0.0010517192718262473,0.8848494793574015,0.00801711333145698,0.9167971436182658,0.2554711238384247,0.9979703755378723,0.007601197931170463,0.6872696463267008,0.08723704360326132,0.9865805106163025,lstm,barrage,-2.0,2
240000,18017,0.07507083333333334,87.38865847539901,5.366957720744554e-10,0.23948145442604202,2.2779753354390464,,,0.010791516244411468,0.6744899627367655,0.010791516244411468,0.6744899627367655,0.0010901198829213778,0.6744899627367655,0.0048306925902764,0.740836542447408,0.254201442639033,0.9968186435699463,0.014495372804005941,0.5906878469785054,0.0888238233645757,0.9671877644856771,lstm,barrage,2.0,2
