n_sym,n_err,ber,mse_tau,mse_fd,corr_tau,margin_mean,attn_entropy,attn_maxw,conv1_energy,conv1_cos,conv2_energy,conv2_cos,pool_projection_energy,pool_projection_cos,attn_weights_energy,attn_weights_cos,attn_pool_energy,attn_pool_cos,sensing_position_energy,sensing_position_cos,sensing_delay_profile_energy,sensing_delay_profile_cos,sensing_features_energy,sensing_features_cos,arch,jammer,jsr_db,realization
240000,897,0.0037375,55.7404464984757,5.340140335256443e-10,0.6259852041473982,2.840970304361979,4.461547972016976,0.03097620030641556,0.008106341054538885,0.9978456495602925,0.007282172462840875,0.9946204266548156,0.018657318752010665,0.99665292040507,0.00013229311242854845,,0.009997939517100651,0.9965420215924581,0.25241413067181906,0.9908774360020955,0.0036370082539816696,0.8903170285224915,0.07557020415465036,0.9897544555664063,conv1d,partial_band,-10.0,0
240000,4137,0.0172375,64.3812529879674,5.340614217966196e-10,0.5410848661268972,2.7423925491333008,4.460405569302368,0.03168825821081797,0.009230789304027955,0.9921450144449869,0.007960828149070343,0.9787507519721985,0.017724379536509512,0.9869056968688965,0.00013272811535280197,,0.009083386544883252,0.9839912813504537,0.2532654440244039,0.9865463458697001,0.00453838835246861,0.8144038933118184,0.07594548796017965,0.9826311486562093,conv1d,partial_band,-6.0,0
240000,27622,0.11509166666666666,76.39470916717639,5.34509147190542e-10,0.40449493361649713,2.15061802927653,4.451302563670206,0.03383638762633006,0.012077807029088339,0.9768765586217244,0.009957590476175148,0.9304899956385294,0.01745149922966957,0.9451624024709065,0.0001354685484121243,,0.008955143658320109,0.91971644337972,0.2544301134268443,0.980827880859375,0.00680254842042923,0.7208655743598938,0.07722514825661977,0.9690105403264364,conv1d,partial_band,-2.0,0
240000,89795,0.37414583333333334,88.74775815525778,5.35914210401169e-10,0.24965619459052196,0.7892312786102295,4.414666302376702,0.040700181953112285,0.019297882107893627,0.949492969195048,0.01571676141768694,0.8420334006945293,0.021212312345703442,0.8159036054611206,0.00014725092041771858,,0.013594589020311833,0.754873324394226,0.2560639193058014,0.9747132980028789,0.01248985430598259,0.6249524625142415,0.08147418462832769,0.942317998568217,conv1d,partial_band,2.0,0
240000,117503,0.48959583333333334,98.99919396498451,5.398532973771993e-10,0.13345228225399208,0.11929492333730062,4.289059549654927,0.06207846916516622,0.0376055992881457,0.9174268856048584,0.031559117332100865,0.7496364297866821,0.03683820118904114,0.6428253993193308,0.00019703025633158782,,0.03583137314319611,0.6081307412783304,0.2579029758294423,0.9680559136072795,0.026775709491968155,0.5421919233004252,0.0944924824754397,0.8834348224004109,conv1d,partial_band,6.0,0
240000,119750,0.49895833333333334,108.62859782931835,5.513225501145057e-10,0.06673664171200515,0.025902390027046203,3.910533747005444,0.1225739133199056,0.08396432085434596,0.8913690468470256,0.07343017629782359,0.6859113039970398,0.08223388495445251,0.5392082952658336,0.0004245774901627252,,0.1297080477952957,0.5403463394641876,0.2598912167231242,0.9612682188351949,0.06266013859510422,0.4804246874650319,0.13717051374117534,0.758511151711146,conv1d,partial_band,10.0,0
240000,2455,0.010229166666666666,59.955584685333854,5.34245038262833e-10,0.5849540581043245,2.772162492879232,4.45967100135813,0.03118879061539968,0.008095445218682289,0.9982269434928894,0.0075418437513212365,0.9934675079981486,0.02180714620848497,0.9893770961761474,0.0001327615472720936,,0.011496899668872356,0.992569415251414,0.25029756881395976,0.9877362864812215,0.003902718348801136,0.8652486125628154,0.07551196118593216,0.9862548243204753,conv1d,partial_band,-10.0,1
240000,15777,0.0657375,70.03276784024429,5.344672923701523e-10,0.4802122043034138,2.394115995788574,4.456815135642976,0.03208936420679093,0.009199342096348604,0.9940973205566406,0.008593112202733755,0.9767356767654419,0.025361507669091225,0.9587781731287638,0.00013353509715913485,,0.01251917317310969,0.9658696316083273,0.24999703698158265,0.9812877626419068,0.00520648294625183,0.7798825117746989,0.07628405009905498,0.9764017070134481,conv1d,partial_band,-6.0,1
240000,71798,0.29915833333333336,82.10022355772003,5.350298320836859e-10,0.34315673222306603,1.1741811113993328,4.446091582619924,0.03384101798534393,0.011981496913234392,0.9838253870010376,0.011434352500736713,0.9332443181673685,0.03569067372083664,0.8851606523195903,0.00013602614934400965,,0.01636931248009205,0.8784326690038046,0.25011278440157575,0.9743080925941467,0.00848177383641402,0.6813220891952515,0.0788306163708369,0.9591667806307475,conv1d,partial_band,-2.0,1
240000,116387,0.48494583333333335,93.85356342167982,5.366126414096077e-10,0.2121988859814942,0.19467277634938557,4.41133504266451,0.03797197711467743,0.019000545729200045,0.9664767818450928,0.01905875639716784,0.8632851087252299,0.06518493863344192,0.7970348008473714,0.0001444320905332764,,0.0298611232260863,0.7424742654164632,0.25121277402242026,0.9682764633496602,0.01670953854173422,0.5873849225044251,0.08653292398452758,0.9238779335021973,conv1d,partial_band,2.0,1
240000,119968,0.4998666666666667,104.47255785246041,5.414924323964432e-10,0.11625870087319524,0.027300541353225707,4.314608597309529,0.05007602435747782,0.03672230814496676,0.9471037899653116,0.039129818763335544,0.7936021942297617,0.14545198251406352,0.7381800258159638,0.00017263260004110633,,0.07440554101864497,0.6455606779257457,0.2526619213104248,0.9630983030001322,0.03737770823438962,0.5120493066310883,0.1085141443570455,0.8469240172704061,conv1d,partial_band,6.0,1
240000,120000,0.5,115.29316533637929,5.541011736480998e-10,0.05910284949666931,0.008027861090501149,4.071330224268825,0.08394955662091573,0.08146800460418066,0.931824271996816,0.09106087526877721,0.7435009238719941,0.3551539368788401,0.707388933022817,0.0002738135309269031,,0.2263729735056559,0.6015295854409536,0.2538487873236338,0.9582461568514506,0.08929532651106517,0.45877514759699506,0.17433669799963633,0.7069453999201457,conv1d,partial_band,10.0,1
240000,4365,0.0181875,59.53537039395813,5.344298338928977e-10,0.5890538859643354,2.7131784790039064,4.4551908014309864,0.03170904986858368,0.008086576939125855,0.997481670220693,0.007647959100703398,0.9893860119183858,0.02323033005297184,0.9810156016349793,0.00013389883571459602,,0.012003518088161946,0.9883099761009216,0.2501814682563146,0.9849198908805847,0.003911908020824194,0.867821266969045,0.07562607032060623,0.9834486684799194,conv1d,partial_band,-10.0,2
