arch,modality,jammer_knowledge,jammer_model,in_channel,jsr_db,ber,ber_std,ber_sem,ber_ci_lo,ber_ci_hi,ber_min,ber_max,ber_q05,ber_q50,ber_q95,jammed_fraction,ber_clean,hop_rate_hz,dwell_bursts,slot_duration_us,num_channels,n_realizations
qkv,fh_off,omniscient,fixed_partial,cw,-10.0,0.00421,0.003657423956830818,0.001635649718001993,0.0010041854613929992,0.007415814538607001,0.0001,0.00955,0.00041999999999999996,0.00415,0.008749999999999999,1.0,0.00022,100000.0,1,10.0,8,5
qkv,fh_off,omniscient,fixed_partial,cw,-6.0,0.044399999999999995,0.03245431404297432,0.01451401047264332,0.015953062202381928,0.07284693779761806,0.00015,0.0768,0.0045899999999999995,0.05285,0.07540999999999999,1.0,0.00022,100000.0,1,10.0,8,5
qkv,fh_off,omniscient,fixed_partial,cw,-2.0,0.26583,0.17116611668201157,0.07654781446912771,0.1157990405452557,0.41586095945474433,0.0003,0.40555,0.038360000000000005,0.3409,0.4028,1.0,0.00022,100000.0,1,10.0,8,5
qkv,fh_off,omniscient,fixed_partial,cw,2.0,0.39556,0.22095599222469617,0.09881452373006712,0.20188709233958999,0.58923290766041,0.0006,0.50285,0.09651000000000001,0.49545,0.50203,1.0,0.00022,100000.0,1,10.0,8,5
qkv,fh_off,omniscient,fixed_partial,cw,6.0,0.40302000000000004,0.21788619621261004,0.09744166921805066,0.2120378377391556,0.5940021622608445,0.0133,0.50375,0.10979000000000003,0.49875,0.50371,1.0,0.00022,100000.0,1,10.0,8,5
qkv,fh_off,omniscient,fixed_partial,cw,10.0,0.43718,0.14151619871943985,0.06328796805080723,0.31313786196569626,0.5612221380343038,0.1841,0.50375,0.24643,0.49875,0.50371,1.0,0.00022,100000.0,1,10.0,8,5
qkv,fh_off_blind,band_agnostic,fixed_partial,cw,-10.0,0.0028799999999999997,0.004102377359531909,0.0018346389290538887,0.0,0.006475826225580756,5e-05,0.00955,5e-05,0.0006,0.008469999999999998,0.4,0.00022,100000.0,1,10.0,8,5
qkv,fh_off_blind,band_agnostic,fixed_partial,cw,-6.0,0.029469999999999996,0.04010992084260451,0.017937701915239863,0.0,0.06462724971928527,5e-05,0.0768,5e-05,0.0006,0.07540999999999999,0.4,0.00022,100000.0,1,10.0,8,5
qkv,fh_off_blind,band_agnostic,fixed_partial,cw,-2.0,0.15960999999999997,0.21828974265869663,0.09762214067515626,0.0,0.35094587981700887,5e-05,0.40555,5e-05,0.0006,0.4028,0.4,0.00022,100000.0,1,10.0,8,5
qkv,fh_off_blind,band_agnostic,fixed_partial,cw,2.0,0.19898,0.2721476749854755,0.12170814023720845,0.0,0.4375235714902787,5e-05,0.49875,5e-05,0.0006,0.49809000000000003,0.4,0.00022,100000.0,1,10.0,8,5
qkv,fh_off_blind,band_agnostic,fixed_partial,cw,6.0,0.19904000000000002,0.27222939866957796,0.12174468817981342,0.0,0.4376552041414935,5e-05,0.49875,5e-05,0.0006,0.49815000000000004,0.4,0.00022,100000.0,1,10.0,8,5
qkv,fh_off_blind,band_agnostic,fixed_partial,cw,10.0,0.19904000000000002,0.27222939866957796,0.12174468817981342,0.0,0.4376552041414935,5e-05,0.49875,5e-05,0.0006,0.49815000000000004,0.4,0.00022,100000.0,1,10.0,8,5
qkv,fh_on,model,fixed_partial,cw,-10.0,0.00091,0.0006318623267769649,0.00028257742301889585,0.00035615842803882474,0.0014638415719611753,0.00015,0.0016,0.00018999999999999998,0.0011,0.00155,0.25,0.00015000000000000001,100000.0,1,10.0,8,5
qkv,fh_on,model,fixed_partial,cw,-6.0,0.01069,0.007872531359099181,0.003520703054788915,0.0037895488123535787,0.01759045118764642,0.0002,0.0196,0.00117,0.01375,0.01865,0.25,0.00015000000000000001,100000.0,1,10.0,8,5
qkv,fh_on,model,fixed_partial,cw,-2.0,0.06660999999999999,0.04319440646657852,0.019317125821405212,0.028749129105217076,0.10447087089478291,0.00025,0.1008,0.009510000000000001,0.08485,0.10076,0.25,0.00015000000000000001,100000.0,1,10.0,8,5
qkv,fh_on,model,fixed_partial,cw,2.0,0.09977,0.05556721830360055,0.024850415489484273,0.05106408063975454,0.14847591936024546,0.0004,0.12555,0.024760000000000004,0.12515,0.12555,0.25,0.00015000000000000001,100000.0,1,10.0,8,5
qkv,fh_on,model,fixed_partial,cw,6.0,0.10141,0.05417505652973515,0.02422782181707633,0.05392434181467664,0.14889565818532335,0.0045,0.1261,0.028669999999999998,0.12555,0.12599,0.25,0.00015000000000000001,100000.0,1,10.0,8,5
qkv,fh_on,model,fixed_partial,cw,10.0,0.11000999999999998,0.034945267919991675,0.015627998912208813,0.07937968498163958,0.14064031501836038,0.0475,0.1261,0.06307,0.12555,0.12599,0.25,0.00015000000000000001,100000.0,1,10.0,8,5
qkv,fh_off,omniscient,fixed_partial,partial_band,-10.0,0.00222,0.0016987495401029548,0.0007597038896833423,0.0007310077373056591,0.0037089922626943415,0.00035,0.0041,0.00054,0.0014,0.004070000000000001,1.0,0.00022,100000.0,1,10.0,8,5
