2026-09-25 11:56:30 | src.data.dataset_generator     | INFO   | saved data/raw/760fc038/test_snr7_echo3.npz: 20000 symbols, x shape=(20000, 100), tau in [1, 33], f_d in [6.121e-09, 7.994e-05]
2026-09-25 11:56:32 | src.data.dataset_generator     | INFO   | saved data/raw/760fc038/test_snr9_echo3.npz: 20000 symbols, x shape=(20000, 100), tau in [1, 33], f_d in [7.410e-09, 7.982e-05]
2026-09-25 11:56:34 | src.data.dataset_generator     | INFO   | saved data/raw/760fc038/test_snr11_echo3.npz: 20000 symbols, x shape=(20000, 100), tau in [1, 33], f_d in [1.007e-08, 7.999e-05]
2026-09-25 11:56:36 | src.data.dataset_generator     | INFO   | saved data/raw/760fc038/test_snr13_echo3.npz: 20000 symbols, x shape=(20000, 100), tau in [1, 33], f_d in [7.872e-09, 7.999e-05]
2026-09-25 11:56:37 | src.data.dataset_generator     | INFO   | saved data/raw/760fc038/test_snr15_echo3.npz: 20000 symbols, x shape=(20000, 100), tau in [1, 33], f_d in [8.955e-10, 7.999e-05]
2026-09-25 11:56:41 | src.data.dataset_generator     | INFO   | saved data/raw/760fc038/test_snr17_echo3.npz: 20000 symbols, x shape=(20000, 100), tau in [1, 33], f_d in [1.103e-08, 7.996e-05]
2026-09-25 11:56:43 | src.data.dataset_generator     | INFO   | saved data/raw/760fc038/test_snr19_echo3.npz: 20000 symbols, x shape=(20000, 100), tau in [1, 33], f_d in [1.161e-08, 7.998e-05]
2026-09-25 11:56:45 | src.data.dataset_generator     | INFO   | saved data/raw/760fc038/test_snr21_echo3.npz: 20000 symbols, x shape=(20000, 100), tau in [1, 33], f_d in [1.161e-07, 7.999e-05]
2026-09-25 11:56:45 | src.data.dataset_generator     | INFO   | split 'test': 14 files generated, 20000 symbols per combination (combos=14)
2026-09-25 11:56:46 | src.data.data_loader           | INFO   | split 'train': 105000 total samples, x shape=(105000, 100), tau in [1.00, 33.00], f_d in [1.089e-08, 7.999e-05]
2026-09-25 11:56:46 | src.data.data_loader           | INFO   | balancing verified: 7500 samples for each of the 14 (SNR, K) combinations
2026-09-25 11:57:00 | src.experiments.pipeline       | INFO   | Split 'train': 105000 samples
2026-09-25 11:57:01 | src.data.data_loader           | INFO   | split 'val': 70000 total samples, x shape=(70000, 100), tau in [1.00, 33.00], f_d in [1.167e-08, 7.999e-05]
2026-09-25 11:57:01 | src.data.data_loader           | INFO   | balancing verified: 5000 samples for each of the 14 (SNR, K) combinations
