2026-09-25 14:39:05 | src.evaluation.evaluator       | WARNING | SNR=9.0 dB: 6/1024 sensing elements outside [0,1] (min=-0.1016, max=1.0921) -> clamped
2026-09-25 14:39:06 | src.evaluation.evaluator       | WARNING | SNR=11.0 dB: 9/1536 sensing elements outside [0,1] (min=-0.2089, max=1.1699) -> clamped
2026-09-25 14:39:06 | src.evaluation.evaluator       | WARNING | SNR=13.0 dB: 8/1280 sensing elements outside [0,1] (min=-0.2461, max=1.0885) -> clamped
2026-09-25 14:39:07 | src.evaluation.evaluator       | WARNING | SNR=15.0 dB: 18/1536 sensing elements outside [0,1] (min=-0.0807, max=1.1451) -> clamped
2026-09-25 14:39:07 | src.evaluation.evaluator       | WARNING | SNR=17.0 dB: 17/1280 sensing elements outside [0,1] (min=-0.1365, max=1.1866) -> clamped
2026-09-25 14:39:08 | src.evaluation.evaluator       | WARNING | SNR=19.0 dB: 18/1280 sensing elements outside [0,1] (min=-0.2376, max=1.0978) -> clamped
2026-09-25 14:39:08 | src.evaluation.evaluator       | WARNING | SNR=21.0 dB: 17/1536 sensing elements outside [0,1] (min=-0.2148, max=1.0892) -> clamped
2026-09-25 14:39:08 | src.evaluation.evaluator       | INFO   | Evaluation completed for 14 SNR points
2026-09-25 14:39:08 | src.experiments.run_jamming    | INFO   | jamming cw r=0 JSR=-6.0 dB | BER=0.18245
2026-09-25 14:39:08 | src.evaluation.evaluator       | INFO   | Starting evaluation over 14 SNR points
2026-09-25 14:39:09 | src.evaluation.evaluator       | WARNING | SNR=-5.0 dB: 1/256 sensing elements outside [0,1] (min=-0.0458, max=0.8602) -> clamped
2026-09-25 14:39:09 | src.evaluation.evaluator       | WARNING | SNR=-3.0 dB: 1/256 sensing elements outside [0,1] (min=-0.0744, max=0.9979) -> clamped
2026-09-25 14:39:09 | src.evaluation.evaluator       | WARNING | SNR=-1.0 dB: 4/512 sensing elements outside [0,1] (min=-0.2020, max=1.0709) -> clamped
2026-09-25 14:39:09 | src.evaluation.evaluator       | WARNING | SNR=1.0 dB: 1/256 sensing elements outside [0,1] (min=0.2187, max=1.0248) -> clamped
2026-09-25 14:39:10 | src.evaluation.evaluator       | WARNING | SNR=3.0 dB: 5/768 sensing elements outside [0,1] (min=-0.0293, max=1.1317) -> clamped
2026-09-25 14:39:10 | src.evaluation.evaluator       | WARNING | SNR=5.0 dB: 6/768 sensing elements outside [0,1] (min=-0.2606, max=1.3498) -> clamped
2026-09-25 14:39:10 | src.evaluation.evaluator       | WARNING | SNR=7.0 dB: 2/512 sensing elements outside [0,1] (min=0.0590, max=1.0342) -> clamped
2026-09-25 14:39:10 | src.evaluation.evaluator       | WARNING | SNR=9.0 dB: 5/768 sensing elements outside [0,1] (min=-0.0417, max=1.1052) -> clamped
2026-09-25 14:39:11 | src.evaluation.evaluator       | WARNING | SNR=11.0 dB: 4/768 sensing elements outside [0,1] (min=-0.2820, max=1.0566) -> clamped
2026-09-25 14:39:11 | src.evaluation.evaluator       | WARNING | SNR=13.0 dB: 4/768 sensing elements outside [0,1] (min=-0.1949, max=1.0105) -> clamped
2026-09-25 14:39:11 | src.evaluation.evaluator       | WARNING | SNR=15.0 dB: 11/768 sensing elements outside [0,1] (min=-0.0675, max=1.1989) -> clamped
2026-09-25 14:39:11 | src.evaluation.evaluator       | WARNING | SNR=17.0 dB: 10/768 sensing elements outside [0,1] (min=-0.1310, max=1.1937) -> clamped
2026-09-25 14:39:12 | src.evaluation.evaluator       | WARNING | SNR=19.0 dB: 11/768 sensing elements outside [0,1] (min=-0.2240, max=1.0693) -> clamped
2026-09-25 14:39:12 | src.evaluation.evaluator       | WARNING | SNR=21.0 dB: 9/768 sensing elements outside [0,1] (min=-0.1556, max=1.0641) -> clamped
2026-09-25 14:39:12 | src.evaluation.evaluator       | INFO   | Evaluation completed for 14 SNR points
2026-09-25 14:39:12 | src.experiments.run_jamming    | INFO   | jamming cw r=0 JSR=-4.0 dB | BER=0.34477
2026-09-25 14:39:12 | src.evaluation.evaluator       | INFO   | Starting evaluation over 14 SNR points
