2026-09-26 12:31:48 | src.experiments.pipeline       | INFO   | BER vs SNR plot saved to results/smoke2/fast/ber_vs_snr/k1_doppler_full/qkv/plots/ber_vs_snr_dual_head_ultra_can_qkv.pdf
2026-09-26 12:31:48 | src.experiments.pipeline       | INFO   | Model saved to results/smoke2/fast/ber_vs_snr/k1_doppler_full/qkv/best_model.keras
2026-09-26 12:31:48 | src.utils.config_loader        | INFO   | config snapshot saved: results/smoke2/fast/ber_vs_snr/k1_doppler_full/qkv/logs/config_used.yaml
2026-09-26 12:31:49 | __main__                       | INFO   | RSS [ber_vs_snr k1_doppler_full/qkv] = 1.10 GB
2026-09-26 12:31:49 | __main__                       | INFO   | Architecture: blind_stat
2026-09-26 12:31:49 | src.evaluation.compare_baselines | WARNING | Fallback style for unknown architecture: 'blind_stat'
2026-09-26 12:31:49 | src.evaluation.compare_baselines | INFO   | BER plot saved to results/smoke2/fast/ber_vs_snr/plots/ber_vs_snr_k1_doppler_full.pdf
2026-09-26 12:31:49 | src.experiments.pipeline       | INFO   | Overlay saved to results/smoke2/fast/ber_vs_snr/plots/ber_vs_snr_k1_doppler_full.pdf
2026-09-26 12:31:49 | __main__                       | INFO   | RSS [ber_vs_snr k1_doppler_full scenario done] = 1.10 GB
2026-09-26 12:31:49 | __main__                       | INFO   | --- Scenario: iod_peers ---
2026-09-26 12:31:49 | src.experiments.pipeline       | INFO   | Dataset not found in data/raw/7666726d, generating...
2026-09-26 12:31:49 | src.data.dataset_generator     | INFO   | saved data/raw/7666726d/train_snr0_echo3.npz: 36 symbols, x shape=(36, 100), tau in [1, 5], f_d in [1.873e-06, 7.941e-05]
2026-09-26 12:31:49 | src.data.dataset_generator     | INFO   | saved data/raw/7666726d/train_snr5_echo3.npz: 36 symbols, x shape=(36, 100), tau in [1, 5], f_d in [3.067e-07, 7.535e-05]
2026-09-26 12:31:49 | src.data.dataset_generator     | INFO   | saved data/raw/7666726d/train_snr10_echo3.npz: 36 symbols, x shape=(36, 100), tau in [1, 5], f_d in [3.058e-07, 7.956e-05]
2026-09-26 12:31:49 | src.data.dataset_generator     | INFO   | split 'train': 3 files generated, 36 symbols per combination (combos=3)
2026-09-26 12:31:49 | src.data.dataset_generator     | INFO   | saved data/raw/7666726d/val_snr0_echo3.npz: 20 symbols, x shape=(20, 100), tau in [1, 5], f_d in [8.636e-06, 7.927e-05]
2026-09-26 12:31:49 | src.data.dataset_generator     | INFO   | saved data/raw/7666726d/val_snr5_echo3.npz: 20 symbols, x shape=(20, 100), tau in [1, 5], f_d in [6.796e-06, 7.798e-05]
2026-09-26 12:31:49 | src.data.dataset_generator     | INFO   | saved data/raw/7666726d/val_snr10_echo3.npz: 20 symbols, x shape=(20, 100), tau in [1, 5], f_d in [9.167e-08, 7.737e-05]
2026-09-26 12:31:49 | src.data.dataset_generator     | INFO   | split 'val': 3 files generated, 20 symbols per combination (combos=3)
2026-09-26 12:31:49 | src.data.dataset_generator     | INFO   | saved data/raw/7666726d/test_snr0_echo3.npz: 50 symbols, x shape=(50, 100), tau in [1, 5], f_d in [3.402e-07, 7.730e-05]
2026-09-26 12:31:49 | src.data.dataset_generator     | INFO   | saved data/raw/7666726d/test_snr5_echo3.npz: 50 symbols, x shape=(50, 100), tau in [1, 5], f_d in [3.067e-07, 7.848e-05]
2026-09-26 12:31:49 | src.data.dataset_generator     | INFO   | saved data/raw/7666726d/test_snr10_echo3.npz: 50 symbols, x shape=(50, 100), tau in [1, 5], f_d in [1.481e-06, 7.947e-05]
2026-09-26 12:31:49 | src.data.dataset_generator     | INFO   | split 'test': 3 files generated, 50 symbols per combination (combos=3)
