n_sym,n_err,ber,mse_tau,mse_fd,corr_tau,margin_mean,attn_entropy,attn_maxw,mc_bilstm_1_energy,mc_bilstm_1_cos,dropout_mc_energy,dropout_mc_cos,shared_gap_energy,shared_gap_cos,mc_proj_energy,mc_proj_cos,sensing_position_energy,sensing_position_cos,sensing_delay_profile_energy,sensing_delay_profile_cos,sensing_features_energy,sensing_features_cos,arch,jammer,jsr_db,realization
240000,120000,0.5,106.82635376933386,6.652032159609114e-10,0.04172135376733967,0.021538085295756657,,,0.04380436678727468,0.16571842544029156,0.04380436678727468,0.16571842544029156,0.028956437862912812,0.16571842544029156,0.4773316093921661,0.4301870586077372,0.2481201208114624,0.9971321225166321,0.11509655859073004,0.4980464802583059,0.253824311431249,0.6706554299195607,mc_dlsk,cw,10.0,3
240000,1251,0.0052125,55.4557190427483,5.32975531319601e-10,0.6261530553981925,2.878136799112956,,,0.004037264431267977,0.9892343878746033,0.004037264431267977,0.9892343878746033,0.001157863533931474,0.9892343878746033,0.014559069224198659,0.9917689029375713,0.24884268709818522,0.9997941711743673,0.0037686695732176306,0.8924419306119283,0.09957850699027379,0.9984628486633301,mc_dlsk,cw,-10.0,4
240000,8327,0.034695833333333335,63.874270208659475,5.330008744954167e-10,0.5459255092184508,2.6679514923095704,,,0.004291148331140479,0.9477057223320007,0.004291148331140479,0.9477057223320007,0.0011950612817580501,0.9477057223320007,0.014987874022126198,0.9437868170738221,0.2485524174451828,0.9995141630172729,0.004868596793587009,0.8236610800425211,0.09998652913570404,0.995392164071401,mc_dlsk,cw,-6.0,4
240000,48556,0.20231666666666667,74.86347459022014,5.331929267437656e-10,0.4275279419270219,1.6072417897542317,,,0.005079260736207168,0.7920918366114299,0.005079260736207168,0.7920918366114299,0.0014585726730525495,0.7920918366114299,0.019774379788835842,0.7309265003204346,0.2477457101027171,0.9989635502497355,0.007631186294804017,0.7404613361358643,0.10188448176781337,0.9843306252161662,mc_dlsk,cw,-2.0,4
240000,112659,0.4694125,86.77198389343378,5.337946568081841e-10,0.28554559274255853,0.23605702585379282,,,0.007757030732929706,0.49266900396347046,0.007757030732929706,0.49266900396347046,0.002935448705777526,0.49266900396347046,0.05235193708539009,0.4829403636455536,0.24644011567433674,0.9982778805096945,0.014570017600556215,0.6542097326914469,0.11192763140598933,0.9429105456670125,mc_dlsk,cw,2.0,4
240000,120000,0.5,96.25711365439896,5.356573378462991e-10,0.1598398743876623,0.01881205861965815,,,0.016700712381800015,0.2623944674134254,0.016700712381800015,0.2623944674134254,0.009567521157364051,0.2623944674134254,0.1814155928850174,0.44354381744066873,0.24622404189109803,0.9978037139574687,0.03199881406525771,0.5769205111662546,0.14981325006484986,0.8349135414759318,mc_dlsk,cw,6.0,4
240000,120000,0.5,106.48823884695128,5.857541340550541e-10,0.06526201167929062,0.018216519645849864,,,0.03990353046456973,0.17969721745575468,0.03990353046456973,0.17969721745575468,0.02888022938668728,0.17969721745575468,0.5118819043477376,0.436605123202006,0.2483167675892512,0.9970499351819356,0.07577676577568054,0.5158673223654429,0.24750577283700306,0.6776496979395549,mc_dlsk,cw,10.0,4
240000,553,0.0023041666666666666,56.5944055369183,5.331066654780605e-10,0.6156604181789394,2.8919589833577475,,,0.004101322462782264,0.9896531631151835,0.004101322462782264,0.9896531631151835,0.001124417319148779,0.9896531631151835,0.013858829361200333,0.9931806751887003,0.248714364083608,0.9993773957888286,0.003763053418944279,0.8733812743822733,0.09935720083713531,0.9981080748240153,mc_dlsk,barrage,-10.0,0
240000,1130,0.0047083333333333335,66.25243855501404,5.332560784280344e-10,0.5203719264050964,2.859444125366211,,,0.004433368175228437,0.9686633132298788,0.004433368175228437,0.9686633132298788,0.0010849888406693935,0.9686633132298788,0.01270729110489289,0.9772952542304992,0.2484582972049713,0.9987389057477315,0.004855901374171178,0.7876098265647888,0.0993909904241562,0.995361704826355,mc_dlsk,barrage,-6.0,0
240000,4072,0.016966666666666668,77.77099573781618,5.336359818062556e-10,0.38217571920655186,2.7242974934895834,,,0.005317990933110316,0.8936899391810099,0.005317990933110316,0.8936899391810099,0.0010298114500318963,0.8936899391810099,0.010525472072760264,0.9134808783531189,0.24815434787273408,0.997745717048645,0.007601534514377515,0.6860177133878073,0.09977800952990849,0.9885147128105164,mc_dlsk,barrage,-2.0,0
