arch,modality,jammer_knowledge,jammer_model,in_channel,jsr_db,realization,ber,jammed_fraction,ber_clean,hop_rate_hz,dwell_bursts,slot_duration_us,num_channels
conv1d,fh_off,omniscient,fixed_partial,partial_band,-10.0,1,0.00245,1.0,0.0,100000.0,1,10.0,8
conv1d,fh_off,omniscient,fixed_partial,partial_band,-6.0,1,0.02985,1.0,0.0,100000.0,1,10.0,8
conv1d,fh_off,omniscient,fixed_partial,partial_band,-2.0,1,0.21915,1.0,0.0,100000.0,1,10.0,8
conv1d,fh_off,omniscient,fixed_partial,partial_band,2.0,1,0.4672,1.0,0.0,100000.0,1,10.0,8
conv1d,fh_off,omniscient,fixed_partial,partial_band,6.0,1,0.49605,1.0,0.0,100000.0,1,10.0,8
conv1d,fh_off,omniscient,fixed_partial,partial_band,10.0,1,0.49625,1.0,0.0,100000.0,1,10.0,8
conv1d,fh_off,omniscient,fixed_partial,cw,-10.0,2,0.0002,1.0,0.0001,100000.0,1,10.0,8
conv1d,fh_off,omniscient,fixed_partial,cw,-6.0,2,0.0002,1.0,0.0001,100000.0,1,10.0,8
conv1d,fh_off,omniscient,fixed_partial,cw,-2.0,2,0.00075,1.0,0.0001,100000.0,1,10.0,8
conv1d,fh_off,omniscient,fixed_partial,cw,2.0,2,0.0137,1.0,0.0001,100000.0,1,10.0,8
conv1d,fh_off,omniscient,fixed_partial,cw,6.0,2,0.105,1.0,0.0001,100000.0,1,10.0,8
conv1d,fh_off,omniscient,fixed_partial,cw,10.0,2,0.3591,1.0,0.0001,100000.0,1,10.0,8
conv1d,fh_off,omniscient,fixed_partial,partial_band,-10.0,2,0.0056,1.0,0.0001,100000.0,1,10.0,8
conv1d,fh_off,omniscient,fixed_partial,partial_band,-6.0,2,0.07315,1.0,0.0001,100000.0,1,10.0,8
conv1d,fh_off,omniscient,fixed_partial,partial_band,-2.0,2,0.3505,1.0,0.0001,100000.0,1,10.0,8
conv1d,fh_off,omniscient,fixed_partial,partial_band,2.0,2,0.50065,1.0,0.0001,100000.0,1,10.0,8
conv1d,fh_off,omniscient,fixed_partial,partial_band,6.0,2,0.5049,1.0,0.0001,100000.0,1,10.0,8
conv1d,fh_off,omniscient,fixed_partial,partial_band,10.0,2,0.5049,1.0,0.0001,100000.0,1,10.0,8
conv1d,fh_off,omniscient,fixed_partial,cw,-10.0,3,0.0156,1.0,0.00055,100000.0,1,10.0,8
conv1d,fh_off,omniscient,fixed_partial,cw,-6.0,3,0.11265,1.0,0.00055,100000.0,1,10.0,8
conv1d,fh_off,omniscient,fixed_partial,cw,-2.0,3,0.43095,1.0,0.00055,100000.0,1,10.0,8
conv1d,fh_off,omniscient,fixed_partial,cw,2.0,3,0.4956,1.0,0.00055,100000.0,1,10.0,8
conv1d,fh_off,omniscient,fixed_partial,cw,6.0,3,0.49575,1.0,0.00055,100000.0,1,10.0,8
conv1d,fh_off,omniscient,fixed_partial,cw,10.0,3,0.49575,1.0,0.00055,100000.0,1,10.0,8
conv1d,fh_off,omniscient,fixed_partial,partial_band,-10.0,3,0.0054,1.0,0.00055,100000.0,1,10.0,8
conv1d,fh_off,omniscient,fixed_partial,partial_band,-6.0,3,0.03095,1.0,0.00055,100000.0,1,10.0,8
conv1d,fh_off,omniscient,fixed_partial,partial_band,-2.0,3,0.2152,1.0,0.00055,100000.0,1,10.0,8
conv1d,fh_off,omniscient,fixed_partial,partial_band,2.0,3,0.4671,1.0,0.00055,100000.0,1,10.0,8
conv1d,fh_off,omniscient,fixed_partial,partial_band,6.0,3,0.4956,1.0,0.00055,100000.0,1,10.0,8
conv1d,fh_off,omniscient,fixed_partial,partial_band,10.0,3,0.49575,1.0,0.00055,100000.0,1,10.0,8
conv1d,fh_off,omniscient,fixed_partial,cw,-10.0,4,0.00765,1.0,0.00025,100000.0,1,10.0,8
conv1d,fh_off,omniscient,fixed_partial,cw,-6.0,4,0.09565,1.0,0.00025,100000.0,1,10.0,8
conv1d,fh_off,omniscient,fixed_partial,cw,-2.0,4,0.40805,1.0,0.00025,100000.0,1,10.0,8
conv1d,fh_off,omniscient,fixed_partial,cw,2.0,4,0.4987,1.0,0.00025,100000.0,1,10.0,8
conv1d,fh_off,omniscient,fixed_partial,cw,6.0,4,0.49875,1.0,0.00025,100000.0,1,10.0,8
