2026-09-24 09:21:36 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       cw            JSR=  10.0 dB r=0 jammed=1.000 BER=0.5031 (1 s)
2026-09-24 09:21:38 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       partial_band  JSR= -10.0 dB r=0 jammed=1.000 BER=0.0003 (2 s)
2026-09-24 09:21:40 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       partial_band  JSR=  -6.0 dB r=0 jammed=1.000 BER=0.0028 (1 s)
2026-09-24 09:21:41 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       partial_band  JSR=  -2.0 dB r=0 jammed=1.000 BER=0.0380 (2 s)
2026-09-24 09:21:43 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       partial_band  JSR=   2.0 dB r=0 jammed=1.000 BER=0.2522 (2 s)
2026-09-24 09:21:45 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       partial_band  JSR=   6.0 dB r=0 jammed=1.000 BER=0.4748 (2 s)
2026-09-24 09:21:46 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       partial_band  JSR=  10.0 dB r=0 jammed=1.000 BER=0.5006 (1 s)
2026-09-24 09:21:50 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       cw            JSR= -10.0 dB r=1 jammed=1.000 BER=0.0013 (1 s)
2026-09-24 09:21:51 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       cw            JSR=  -6.0 dB r=1 jammed=1.000 BER=0.0146 (1 s)
2026-09-24 09:21:53 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       cw            JSR=  -2.0 dB r=1 jammed=1.000 BER=0.1491 (1 s)
2026-09-24 09:21:54 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       cw            JSR=   2.0 dB r=1 jammed=1.000 BER=0.4681 (1 s)
2026-09-24 09:21:56 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       cw            JSR=   6.0 dB r=1 jammed=1.000 BER=0.4996 (2 s)
2026-09-24 09:21:58 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       cw            JSR=  10.0 dB r=1 jammed=1.000 BER=0.4996 (2 s)
2026-09-24 09:22:00 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       partial_band  JSR= -10.0 dB r=1 jammed=1.000 BER=0.0027 (1 s)
2026-09-24 09:22:01 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       partial_band  JSR=  -6.0 dB r=1 jammed=1.000 BER=0.0274 (1 s)
2026-09-24 09:22:03 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       partial_band  JSR=  -2.0 dB r=1 jammed=1.000 BER=0.2143 (1 s)
2026-09-24 09:22:04 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       partial_band  JSR=   2.0 dB r=1 jammed=1.000 BER=0.4701 (1 s)
2026-09-24 09:22:06 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       partial_band  JSR=   6.0 dB r=1 jammed=1.000 BER=0.5003 (1 s)
2026-09-24 09:22:07 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       partial_band  JSR=  10.0 dB r=1 jammed=1.000 BER=0.5004 (1 s)
2026-09-24 09:22:11 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       cw            JSR= -10.0 dB r=2 jammed=1.000 BER=0.0001 (2 s)
2026-09-24 09:22:13 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       cw            JSR=  -6.0 dB r=2 jammed=1.000 BER=0.0003 (2 s)
2026-09-24 09:22:14 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       cw            JSR=  -2.0 dB r=2 jammed=1.000 BER=0.0016 (1 s)
2026-09-24 09:22:16 | src.experiments.frequency_agility | INFO   | [frequency_agility conv1d] fh_off barrage       cw            JSR=   2.0 dB r=2 jammed=1.000 BER=0.0142 (1 s)
